row.names,value,nme,method,time
569,8.735304e+05,src local,obs,(02/22/99 00:57:44)
570,3.861505e+04,src corp,obs,(02/22/99 00:57:44)
571,8.705997e+05,dst fddi,obs,(02/22/99 00:57:44)
572,4.129036e+04,dst switch,obs,(02/22/99 00:57:44)
573,4.303909e+04,dst local,obs,(02/22/99 00:57:44)
574,1.816040e+05,dst corp,obs,(02/22/99 00:57:44)
575,1.136533e+06,total,obs,(02/22/99 00:57:44)
601,0.000000e+00,fddi->fddi,obs,(02/22/99 01:02:43)
602,8.323906e+01,fddi->switch,obs,(02/22/99 01:02:43)
603,3.521008e+04,fddi->local,obs,(02/22/99 01:02:43)
604,2.828283e-01,fddi->corp,obs,(02/22/99 01:02:43)
605,4.269798e+02,switch->fddi,obs,(02/22/99 01:02:43)
606,3.040906e+03,switch->switch,obs,(02/22/99 01:02:43)
607,6.620330e+03,switch->local,obs,(02/22/99 01:02:43)
608,5.211449e+04,switch->corp,obs,(02/22/99 01:02:43)
609,6.538114e+05,local->fddi,obs,(02/22/99 01:02:43)
610,1.482970e+03,local->switch,obs,(02/22/99 01:02:43)
611,4.915825e+00,local->local,obs,(02/22/99 01:02:43)
612,1.794990e+03,local->corp,obs,(02/22/99 01:02:43)
613,5.656566e-01,corp->fddi,obs,(02/22/99 01:02:43)
614,4.603724e+03,corp->switch,obs,(02/22/99 01:02:43)
615,6.709057e+02,corp->local,obs,(02/22/99 01:02:43)
616,0.000000e+00,corp->corp,obs,(02/22/99 01:02:43)
617,3.529360e+04,src fddi,obs,(02/22/99 01:02:43)
618,6.220270e+04,src switch,obs,(02/22/99 01:02:43)
619,6.570943e+05,src local,obs,(02/22/99 01:02:43)
620,5.275195e+03,src corp,obs,(02/22/99 01:02:43)
621,6.542389e+05,dst fddi,obs,(02/22/99 01:02:43)
622,9.210838e+03,dst switch,obs,(02/22/99 01:02:43)
623,4.250623e+04,dst local,obs,(02/22/99 01:02:43)
624,5.390976e+04,dst corp,obs,(02/22/99 01:02:43)
625,7.598658e+05,total,obs,(02/22/99 01:02:43)
651,0.000000e+00,fddi->fddi,obs,(02/22/99 01:07:43)
652,9.515152e+01,fddi->switch,obs,(02/22/99 01:07:43)
653,2.897618e+04,fddi->local,obs,(02/22/99 01:07:43)
654,2.828283e-01,fddi->corp,obs,(02/22/99 01:07:43)
655,8.689562e+01,switch->fddi,obs,(02/22/99 01:07:43)
656,2.206040e+03,switch->switch,obs,(02/22/99 01:07:43)
657,3.796909e+03,switch->local,obs,(02/22/99 01:07:43)
658,3.792373e+04,switch->corp,obs,(02/22/99 01:07:43)
659,9.095070e+05,local->fddi,obs,(02/22/99 01:07:43)
660,1.234030e+03,local->switch,obs,(02/22/99 01:07:43)
661,1.116162e+01,local->local,obs,(02/22/99 01:07:43)
662,1.746522e+03,local->corp,obs,(02/22/99 01:07:43)
663,5.656566e-01,corp->fddi,obs,(02/22/99 01:07:43)
664,4.452542e+03,corp->switch,obs,(02/22/99 01:07:43)
665,7.350640e+02,corp->local,obs,(02/22/99 01:07:43)
666,0.000000e+00,corp->corp,obs,(02/22/99 01:07:43)
667,2.907161e+04,src fddi,obs,(02/22/99 01:07:43)
668,4.401358e+04,src switch,obs,(02/22/99 01:07:43)
669,9.124987e+05,src local,obs,(02/22/99 01:07:43)
670,5.188172e+03,src corp,obs,(02/22/99 01:07:43)
671,9.095945e+05,dst fddi,obs,(02/22/99 01:07:43)
672,7.987764e+03,dst switch,obs,(02/22/99 01:07:43)
673,3.351931e+04,dst local,obs,(02/22/99 01:07:43)
674,3.967054e+04,dst corp,obs,(02/22/99 01:07:43)
675,9.907721e+05,total,obs,(02/22/99 01:07:43)
701,0.000000e+00,fddi->fddi,obs,(02/22/99 01:12:44)
702,4.369024e+01,fddi->switch,obs,(02/22/99 01:12:44)
703,2.824353e+04,fddi->local,obs,(02/22/99 01:12:44)
704,2.828283e-01,fddi->corp,obs,(02/22/99 01:12:44)
705,2.953535e+01,switch->fddi,obs,(02/22/99 01:12:44)
706,2.742148e+03,switch->switch,obs,(02/22/99 01:12:44)
707,3.894556e+03,switch->local,obs,(02/22/99 01:12:44)
708,3.181415e+04,switch->corp,obs,(02/22/99 01:12:44)
709,8.703604e+05,local->fddi,obs,(02/22/99 01:12:44)
710,1.227697e+03,local->switch,obs,(02/22/99 01:12:44)
711,5.050505e+00,local->local,obs,(02/22/99 01:12:44)
712,1.203704e+03,local->corp,obs,(02/22/99 01:12:44)
713,5.656566e-01,corp->fddi,obs,(02/22/99 01:12:44)
714,3.850983e+03,corp->switch,obs,(02/22/99 01:12:44)
715,3.664478e+02,corp->local,obs,(02/22/99 01:12:44)
716,0.000000e+00,corp->corp,obs,(02/22/99 01:12:44)
717,2.828750e+04,src fddi,obs,(02/22/99 01:12:44)
718,3.848039e+04,src switch,obs,(02/22/99 01:12:44)
719,8.727968e+05,src local,obs,(02/22/99 01:12:44)
720,4.217997e+03,src corp,obs,(02/22/99 01:12:44)
721,8.703905e+05,dst fddi,obs,(02/22/99 01:12:44)
722,7.864519e+03,dst switch,obs,(02/22/99 01:12:44)
723,3.250958e+04,dst local,obs,(02/22/99 01:12:44)
724,3.301814e+04,dst corp,obs,(02/22/99 01:12:44)
725,9.437827e+05,total,obs,(02/22/99 01:12:44)
751,0.000000e+00,fddi->fddi,obs,(02/22/99 01:17:44)
752,1.109158e+02,fddi->switch,obs,(02/22/99 01:17:44)
753,2.722407e+04,fddi->local,obs,(02/22/99 01:17:44)
754,2.828283e-01,fddi->corp,obs,(02/22/99 01:17:44)
755,1.026364e+02,switch->fddi,obs,(02/22/99 01:17:44)
756,1.966168e+03,switch->switch,obs,(02/22/99 01:17:44)
757,4.137673e+03,switch->local,obs,(02/22/99 01:17:44)
758,3.431416e+04,switch->corp,obs,(02/22/99 01:17:44)
759,8.311366e+05,local->fddi,obs,(02/22/99 01:17:44)
760,1.220158e+03,local->switch,obs,(02/22/99 01:17:44)
761,4.915825e+00,local->local,obs,(02/22/99 01:17:44)
762,1.422384e+03,local->corp,obs,(02/22/99 01:17:44)
763,5.656566e-01,corp->fddi,obs,(02/22/99 01:17:44)
764,4.277128e+03,corp->switch,obs,(02/22/99 01:17:44)
765,6.746498e+02,corp->local,obs,(02/22/99 01:17:44)
766,0.000000e+00,corp->corp,obs,(02/22/99 01:17:44)
767,2.733527e+04,src fddi,obs,(02/22/99 01:17:44)
768,4.052064e+04,src switch,obs,(02/22/99 01:17:44)
769,8.337841e+05,src local,obs,(02/22/99 01:17:44)
770,4.952343e+03,src corp,obs,(02/22/99 01:17:44)
771,8.312398e+05,dst fddi,obs,(02/22/99 01:17:44)
772,7.574370e+03,dst switch,obs,(02/22/99 01:17:44)
773,3.204131e+04,dst local,obs,(02/22/99 01:17:44)
774,3.573682e+04,dst corp,obs,(02/22/99 01:17:44)
775,9.065923e+05,total,obs,(02/22/99 01:17:44)
801,0.000000e+00,fddi->fddi,obs,(02/22/99 01:22:44)
802,6.917172e+01,fddi->switch,obs,(02/22/99 01:22:44)
803,2.888105e+04,fddi->local,obs,(02/22/99 01:22:44)
804,2.828283e-01,fddi->corp,obs,(02/22/99 01:22:44)
805,5.596633e+01,switch->fddi,obs,(02/22/99 01:22:44)
806,3.334293e+03,switch->switch,obs,(02/22/99 01:22:44)
807,7.268973e+03,switch->local,obs,(02/22/99 01:22:44)
808,3.442768e+04,switch->corp,obs,(02/22/99 01:22:44)
809,7.953692e+05,local->fddi,obs,(02/22/99 01:22:44)
810,1.077744e+03,local->switch,obs,(02/22/99 01:22:44)
811,1.142424e+01,local->local,obs,(02/22/99 01:22:44)
812,1.456822e+03,local->corp,obs,(02/22/99 01:22:44)
813,5.656566e-01,corp->fddi,obs,(02/22/99 01:22:44)
814,3.938724e+03,corp->switch,obs,(02/22/99 01:22:44)
815,4.718788e+02,corp->local,obs,(02/22/99 01:22:44)
816,0.000000e+00,corp->corp,obs,(02/22/99 01:22:44)
817,2.895051e+04,src fddi,obs,(02/22/99 01:22:44)
818,4.508692e+04,src switch,obs,(02/22/99 01:22:44)
819,7.979152e+05,src local,obs,(02/22/99 01:22:44)
820,4.411168e+03,src corp,obs,(02/22/99 01:22:44)
821,7.954257e+05,dst fddi,obs,(02/22/99 01:22:44)
822,8.419933e+03,dst switch,obs,(02/22/99 01:22:44)
823,3.663333e+04,dst local,obs,(02/22/99 01:22:44)
824,3.588479e+04,dst corp,obs,(02/22/99 01:22:44)
825,8.763638e+05,total,obs,(02/22/99 01:22:44)
851,0.000000e+00,fddi->fddi,obs,(02/22/99 01:27:43)
852,7.602694e+01,fddi->switch,obs,(02/22/99 01:27:43)
853,2.911068e+04,fddi->local,obs,(02/22/99 01:27:43)
854,2.828283e-01,fddi->corp,obs,(02/22/99 01:27:43)
855,7.724579e+01,switch->fddi,obs,(02/22/99 01:27:43)
856,1.692202e+03,switch->switch,obs,(02/22/99 01:27:43)
